id,make,model,model_year,kilometers,transmission_type,price,priced_at,mileage_category,extra_features_count,model_age,price_moving_avg,competitor_price_diff,popularity,price_change_pct,dt_year,dt_month,dt_day,dt_quarter
11922,Nissan,Juke,2013,107000.0,Automatic,217000,2022-03-09,100k-150k,10,9,203600,-42748.768472906406,0.31,-0.03555555555555556,2022,3,9,1
11923,Nissan,Juke,2013,159999.0,Automatic,186000,2022-03-09,150k-200k,26,9,207600,-73748.7684729064,0.31,-0.1428571428571429,2022,3,9,1
11950,Nissan,Juke,2013,200000.0,Automatic,171000,2022-03-09,200k+,26,9,206000,-88748.7684729064,0.31,-0.08064516129032262,2022,3,9,1
4938,Nissan,Juke,2013,139999.0,Automatic,210000,2022-03-10,100k-150k,15,9,196200,-49748.768472906406,0.31,0.22807017543859653,2022,3,10,1
5009,Nissan,Juke,2013,179999.0,Automatic,195000,2022-03-10,150k-200k,26,9,201800,-64748.768472906406,0.31,-0.0714285714285714,2022,3,10,1
2042,Nissan,Juke,2013,139999.0,Automatic,207000,2022-03-11,100k-150k,26,9,195800,-52748.768472906406,0.31,0.06153846153846154,2022,3,11,1
2047,Nissan,Juke,2013,119999.0,Automatic,208000,2022-03-11,100k-150k,26,9,193800,-51748.768472906406,0.31,0.004830917874396157,2022,3,11,1
6503,Nissan,Juke,2013,130000.0,Automatic,226000,2022-03-16,100k-150k,26,9,198200,-33748.768472906406,0.31,0.08653846153846145,2022,3,16,1
11059,Nissan,Juke,2013,139999.0,Automatic,206000,2022-03-19,100k-150k,19,9,209200,-53748.768472906406,0.31,-0.08849557522123896,2022,3,19,1
11062,Nissan,Juke,2013,89999.0,Automatic,213000,2022-03-19,50k-100k,26,9,208400,-46748.768472906406,0.31,0.03398058252427183,2022,3,19,1
11139,Nissan,Juke,2013,175000.0,Automatic,181000,2022-03-19,150k-200k,4,9,212000,-78748.7684729064,0.31,-0.1502347417840375,2022,3,19,1
8480,Nissan,Juke,2013,159999.0,Automatic,179000,2022-03-21,150k-200k,26,9,206800,-80748.7684729064,0.31,-0.011049723756906049,2022,3,21,1
8551,Nissan,Juke,2013,67000.0,Automatic,213000,2022-03-21,50k-100k,26,9,201000,-46748.768472906406,0.31,0.1899441340782122,2022,3,21,1
5492,Nissan,Juke,2013,139999.0,Automatic,196000,2022-03-24,100k-150k,26,9,198400,-63748.768472906406,0.31,-0.07981220657277,2022,3,24,1
5493,Nissan,Juke,2013,119999.0,Automatic,216000,2022-03-24,100k-150k,19,9,196400,-43748.768472906406,0.31,0.1020408163265305,2022,3,24,1
18495,Nissan,Juke,2013,19999.0,Automatic,203000,2022-04-02,0-50k,20,9,197000,-56748.768472906406,0.31,-0.06018518518518523,2022,4,2,2
18497,Nissan,Juke,2013,139999.0,Automatic,207000,2022-04-02,100k-150k,26,9,201400,-52748.768472906406,0.31,0.019704433497536922,2022,4,2,2
15116,Nissan,Juke,2013,199999.0,Automatic,205000,2022-04-03,150k-200k,26,9,207000,-54748.768472906406,0.31,-0.009661835748792313,2022,4,3,2
15138,Nissan,Juke,2013,139999.0,Automatic,210000,2022-04-03,100k-150k,16,9,205400,-49748.768472906406,0.31,0.024390243902439046,2022,4,3,2
7067,Nissan,Juke,2013,166000.0,Automatic,204000,2022-04-07,150k-200k,9,9,208200,-55748.768472906406,0.31,-0.02857142857142858,2022,4,7,2
14666,Nissan,Juke,2013,59999.0,Automatic,240000,2022-04-10,50k-100k,26,9,205800,-19748.768472906406,0.31,0.17647058823529416,2022,4,10,2
11544,Nissan,Juke,2013,59999.0,Automatic,239000,2022-04-12,50k-100k,26,9,213200,-20748.768472906406,0.31,-0.004166666666666652,2022,4,12,2
18775,Nissan,Juke,2013,126000.0,Automatic,227000,2022-04-17,100k-150k,26,9,219600,-32748.768472906406,0.31,-0.05020920502092052,2022,4,17,2
10033,Nissan,Juke,2013,99999.0,Automatic,204000,2022-04-21,50k-100k,26,9,224000,-55748.768472906406,0.31,-0.10132158590308371,2022,4,21,2
10034,Nissan,Juke,2013,199999.0,Automatic,200000,2022-04-21,150k-200k,26,9,222800,-59748.768472906406,0.31,-0.019607843137254943,2022,4,21,2
10035,Nissan,Juke,2013,139999.0,Automatic,203000,2022-04-21,100k-150k,26,9,222000,-56748.768472906406,0.31,0.014999999999999902,2022,4,21,2
10036,Nissan,Juke,2013,159999.0,Automatic,207000,2022-04-21,150k-200k,26,9,214600,-52748.768472906406,0.31,0.019704433497536922,2022,4,21,2
10037,Nissan,Juke,2013,89999.0,Automatic,219000,2022-04-21,50k-100k,26,9,208200,-40748.768472906406,0.31,0.05797101449275366,2022,4,21,2
10038,Nissan,Juke,2013,89999.0,Automatic,196000,2022-04-21,50k-100k,26,9,206600,-63748.768472906406,0.31,-0.10502283105022836,2022,4,21,2
10039,Nissan,Juke,2013,19999.0,Automatic,199000,2022-04-21,0-50k,26,9,205000,-60748.768472906406,0.31,0.015306122448979664,2022,4,21,2
10040,Nissan,Juke,2013,19999.0,Automatic,206000,2022-04-21,0-50k,26,9,204800,-53748.768472906406,0.31,0.035175879396984966,2022,4,21,2
10041,Nissan,Juke,2013,179999.0,Automatic,187000,2022-04-21,150k-200k,26,9,205400,-72748.7684729064,0.31,-0.09223300970873782,2022,4,21,2
10042,Nissan,Juke,2013,139999.0,Automatic,225000,2022-04-21,100k-150k,26,9,201400,-34748.768472906406,0.31,0.20320855614973254,2022,4,21,2
10043,Nissan,Juke,2013,139999.0,Automatic,211000,2022-04-21,100k-150k,26,9,202600,-48748.768472906406,0.31,-0.06222222222222218,2022,4,21,2
